mpg,cylinders,weight,acceleration,origin
18.0,8,3504,12.0,1
15.0,8,3693,11.5,1
18.0,8,3436,11.0,1
16.0,8,3433,12.0,1
17.0,8,3449,10.5,1
15.0,8,4341,10.0,1
14.0,8,4354,9.0,1
14.0,8,4312,8.5,1
14.0,8,4425,10.0,1
15.0,8,3850,8.5,1
15.0,8,3563,10.0,1
14.0,8,3609,8.0,1
15.0,8,3761,9.5,1
14.0,8,3086,10.0,1
24.0,4,2372,15.0,3
22.0,6,2833,15.5,1
18.0,6,2774,15.5,1
21.0,6,2587,16.0,1
27.0,4,2130,14.5,3
26.0,4,1835,20.5,2
25.0,4,2672,17.5,2
24.0,4,2430,14.5,2
25.0,4,2375,17.5,2
26.0,4,2234,12.5,2
21.0,6,2648,15.0,1
10.0,8,4615,14.0,1
10.0,8,4376,15.0,1
11.0,8,4382,13.5,1
9.0,8,4732,18.5,1
27.0,4,2130,14.5,3
28.0,4,2264,15.5,1
25.0,4,2228,14.0,3
25.0,4,2046,19.0,1
19.0,6,2634,13.0,1
16.0,6,3439,15.5,1
17.0,6,3329,15.5,1
19.0,6,3302,15.5,1
18.0,6,3288,15.5,1
14.0,8,4209,12.0,1
14.0,8,4464,11.5,1
14.0,8,4154,13.5,1
14.0,8,4096,13.0,1
12.0,8,4955,11.5,1
13.0,8,4746,12.0,1
13.0,8,5140,12.0,1
18.0,6,2962,13.5,1
22.0,4,2408,19.0,1
19.0,6,3282,15.0,1
18.0,6,3139,14.5,1
23.0,4,2220,14.0,1
28.0,4,2123,14.0,2
30.0,4,2074,19.5,2
30.0,4,2065,14.5,2
31.0,4,1773,19.0,3
35.0,4,1613,18.0,3
27.0,4,1834,19.0,2
26.0,4,1955,20.5,1
24.0,4,2278,15.5,3
25.0,4,2126,17.0,1
23.0,4,2254,23.5,2
20.0,4,2408,19.5,1
21.0,4,2226,16.5,1
13.0,8,4274,12.0,1
14.0,8,4385,12.0,1
15.0,8,4135,13.5,1
14.0,8,4129,13.0,1
17.0,8,3672,11.5,1
11.0,8,4633,11.0,1
13.0,8,4502,13.5,1
12.0,8,4456,13.5,1
13.0,8,4422,12.5,1
19.0,3,2330,13.5,3
15.0,8,3892,12.5,1
13.0,8,4098,14.0,1
13.0,8,4294,16.0,1
14.0,8,4077,14.0,1
18.0,4,2933,14.5,2
22.0,4,2511,18.0,2
21.0,4,2979,19.5,2
26.0,4,2189,18.0,2
22.0,4,2395,16.0,1
28.0,4,2288,17.0,3
23.0,4,2506,14.5,3
28.0,4,2164,15.0,1
27.0,4,2100,16.5,3
13.0,8,4100,13.0,1
14.0,8,3672,11.5,1
13.0,8,3988,13.0,1
14.0,8,4042,14.5,1
15.0,8,3777,12.5,1
12.0,8,4952,11.5,1
13.0,8,4464,12.0,1
13.0,8,4363,13.0,1
14.0,8,4237,14.5,1
13.0,8,4735,11.0,1
12.0,8,4951,11.0,1
13.0,8,3821,11.0,1
18.0,6,3121,16.5,1
16.0,6,3278,18.0,1
18.0,6,2945,16.0,1
18.0,6,3021,16.5,1
23.0,6,2904,16.0,1
26.0,4,1950,21.0,2
11.0,8,4997,14.0,1
12.0,8,4906,12.5,1
13.0,8,4654,13.0,1
12.0,8,4499,12.5,1
18.0,6,2789,15.0,1
20.0,4,2279,19.0,3
21.0,4,2401,19.5,1
22.0,4,2379,16.5,3
18.0,3,2124,13.5,3
19.0,4,2310,18.5,1
21.0,6,2472,14.0,1
26.0,4,2265,15.5,2
15.0,8,4082,13.0,1
16.0,8,4278,9.5,1
29.0,4,1867,19.5,2
24.0,4,2158,15.5,2
20.0,4,2582,14.0,2
19.0,4,2868,15.5,2
15.0,8,3399,11.0,1
24.0,4,2660,14.0,2
20.0,6,2807,13.5,3
11.0,8,3664,11.0,1
20.0,6,3102,16.5,1
21.0,6,2875,17.0,1
19.0,6,2901,16.0,1
15.0,6,3336,17.0,1
31.0,4,1950,19.0,3
26.0,4,2451,16.5,1
32.0,4,1836,21.0,3
25.0,4,2542,17.0,1
16.0,6,3781,17.0,1
16.0,6,3632,18.0,1
18.0,6,3613,16.5,1
16.0,8,4141,14.0,1
13.0,8,4699,14.5,1
14.0,8,4457,13.5,1
14.0,8,4638,16.0,1
14.0,8,4257,15.5,1
29.0,4,2219,16.5,2
26.0,4,1963,15.5,2
26.0,4,2300,14.5,2
31.0,4,1649,16.5,3
32.0,4,2003,19.0,3
28.0,4,2125,14.5,1
24.0,4,2108,15.5,2
26.0,4,2246,14.0,2
24.0,4,2489,15.0,3
26.0,4,2391,15.5,3
31.0,4,2000,16.0,2
19.0,6,3264,16.0,1
18.0,6,3459,16.0,1
15.0,6,3432,21.0,1
15.0,6,3158,19.5,1
16.0,8,4668,11.5,1
15.0,8,4440,14.0,1
16.0,8,4498,14.5,1
14.0,8,4657,13.5,1
17.0,6,3907,21.0,1
16.0,6,3897,18.5,1
15.0,6,3730,19.0,1
18.0,6,3785,19.0,1
21.0,6,3039,15.0,1
20.0,8,3221,13.5,1
13.0,8,3169,12.0,1
29.0,4,2171,16.0,3
23.0,4,2639,17.0,1
20.0,6,2914,16.0,1
23.0,4,2592,18.5,1
24.0,4,2702,13.5,3
25.0,4,2223,16.5,2
24.0,4,2545,17.0,3
18.0,6,2984,14.5,1
29.0,4,1937,14.0,2
19.0,6,3211,17.0,1
23.0,4,2694,15.0,2
23.0,4,2957,17.0,2
22.0,4,2945,14.5,2
25.0,4,2671,13.5,2
33.0,4,1795,17.5,3
28.0,4,2464,15.5,2
25.0,4,2220,16.9,2
25.0,4,2572,14.9,1
26.0,4,2255,17.7,1
27.0,4,2202,15.3,2
17.5,8,4215,13.0,1
16.0,8,4190,13.0,1
15.5,8,3962,13.9,1
14.5,8,4215,12.8,1
22.0,6,3233,15.4,1
22.0,6,3353,14.5,1
24.0,6,3012,17.6,1
22.5,6,3085,17.6,1
29.0,4,2035,22.2,1
24.5,4,2164,22.1,1
29.0,4,1937,14.2,2
33.0,4,1795,17.4,3
20.0,6,3651,17.7,1
18.0,6,3574,21.0,1
18.5,6,3645,16.2,1
17.5,6,3193,17.8,1
29.5,4,1825,12.2,2
32.0,4,1990,17.0,3
28.0,4,2155,16.4,3
26.5,4,2565,13.6,1
20.0,4,3150,15.7,2
13.0,8,3940,13.2,1
19.0,4,3270,21.9,2
19.0,6,2930,15.5,3
16.5,6,3820,16.7,2
16.5,8,4380,12.1,1
13.0,8,4055,12.0,1
13.0,8,3870,15.0,1
13.0,8,3755,14.0,1
31.5,4,2045,18.5,3
30.0,4,2155,14.8,1
36.0,4,1825,18.6,2
25.5,4,2300,15.5,1
33.5,4,1945,16.8,3
17.5,8,3880,12.5,1
17.0,8,4060,19.0,1
15.5,8,4140,13.7,1
15.0,8,4295,14.9,1
17.5,6,3520,16.4,1
20.5,6,3425,16.9,1
19.0,6,3630,17.7,1
18.5,6,3525,19.0,1
16.0,8,4220,11.1,1
15.5,8,4165,11.4,1
15.5,8,4325,12.2,1
16.0,8,4335,14.5,1
29.0,4,1940,14.5,2
24.5,4,2740,16.0,1
26.0,4,2265,18.2,3
25.5,4,2755,15.8,1
30.5,4,2051,17.0,1
33.5,4,2075,15.9,1
30.0,4,1985,16.4,3
30.5,4,2190,14.1,2
22.0,6,2815,14.5,3
21.5,4,2600,12.8,2
21.5,3,2720,13.5,3
43.1,4,1985,21.5,2
36.1,4,1800,14.4,1
32.8,4,1985,19.4,3
39.4,4,2070,18.6,3
36.1,4,1800,16.4,3
19.9,8,3365,15.5,1
19.4,8,3735,13.2,1
20.2,8,3570,12.8,1
19.2,6,3535,19.2,1
20.5,6,3155,18.2,1
20.2,6,2965,15.8,1
25.1,4,2720,15.4,1
20.5,6,3430,17.2,1
19.4,6,3210,17.2,1
20.6,6,3380,15.8,1
20.8,6,3070,16.7,1
18.6,6,3620,18.7,1
18.1,6,3410,15.1,1
19.2,8,3425,13.2,1
17.7,6,3445,13.4,1
18.1,8,3205,11.2,1
17.5,8,4080,13.7,1
30.0,4,2155,16.5,1
27.5,4,2560,14.2,3
27.2,4,2300,14.7,3
30.9,4,2230,14.5,1
21.1,4,2515,14.8,3
23.2,4,2745,16.7,1
23.8,4,2855,17.6,1
23.9,4,2405,14.9,3
20.3,5,2830,15.9,2
17.0,6,3140,13.6,2
21.6,4,2795,15.7,2
16.2,6,3410,15.8,2
31.5,4,1990,14.9,2
29.5,4,2135,16.6,3
21.5,6,3245,15.4,1
19.8,6,2990,18.2,1
22.3,4,2890,17.3,1
20.2,6,3265,18.2,1
20.6,6,3360,16.6,1
17.0,8,3840,15.4,1
17.6,8,3725,13.4,1
16.5,8,3955,13.2,1
18.2,8,3830,15.2,1
16.9,8,4360,14.9,1
15.5,8,4054,14.3,1
19.2,8,3605,15.0,1
18.5,8,3940,13.0,1
31.9,4,1925,14.0,2
34.1,4,1975,15.2,3
35.7,4,1915,14.4,1
27.4,4,2670,15.0,1
25.4,5,3530,20.1,2
23.0,8,3900,17.4,1
27.2,4,3190,24.8,2
23.9,8,3420,22.2,1
34.2,4,2200,13.2,1
34.5,4,2150,14.9,1
31.8,4,2020,19.2,3
37.3,4,2130,14.7,2
28.4,4,2670,16.0,1
28.8,6,2595,11.3,1
26.8,6,2700,12.9,1
33.5,4,2556,13.2,1
41.5,4,2144,14.7,2
38.1,4,1968,18.8,3
32.1,4,2120,15.5,1
37.2,4,2019,16.4,3
28.0,4,2678,16.5,1
26.4,4,2870,18.1,1
24.3,4,3003,20.1,1
19.1,6,3381,18.7,1
34.3,4,2188,15.8,2
29.8,4,2711,15.5,3
31.3,4,2542,17.5,3
37.0,4,2434,15.0,3
32.2,4,2265,15.2,3
46.6,4,2110,17.9,3
27.9,4,2800,14.4,1
40.8,4,2110,19.2,3
44.3,4,2085,21.7,2
43.4,4,2335,23.7,2
36.4,5,2950,19.9,2
30.0,4,3250,21.8,2
44.6,4,1850,13.8,3
40.9,4,1835,17.3,2
33.8,4,2145,18.0,3
29.8,4,1845,15.3,2
32.7,6,2910,11.4,3
23.7,3,2420,12.5,3
35.0,4,2500,15.1,2
23.6,4,2905,14.3,1
32.4,4,2290,17.0,3
27.2,4,2490,15.7,1
26.6,4,2635,16.4,1
25.8,4,2620,14.4,1
23.5,6,2725,12.6,1
30.0,4,2385,12.9,1
39.1,4,1755,16.9,3
39.0,4,1875,16.4,1
35.1,4,1760,16.1,3
32.3,4,2065,17.8,3
37.0,4,1975,19.4,3
37.7,4,2050,17.3,3
34.1,4,1985,16.0,3
34.7,4,2215,14.9,1
34.4,4,2045,16.2,1
29.9,4,2380,20.7,1
33.0,4,2190,14.2,2
34.5,4,2320,15.8,2
33.7,4,2210,14.4,3
32.4,4,2350,16.8,3
32.9,4,2615,14.8,3
31.6,4,2635,18.3,3
28.1,4,3230,20.4,2
30.7,6,3160,19.6,2
25.4,6,2900,12.6,3
24.2,6,2930,13.8,3
22.4,6,3415,15.8,1
26.6,8,3725,19.0,1
20.2,6,3060,17.1,1
17.6,6,3465,16.6,1
28.0,4,2605,19.6,1
27.0,4,2640,18.6,1
34.0,4,2395,18.0,1
31.0,4,2575,16.2,1
29.0,4,2525,16.0,1
27.0,4,2735,18.0,1
24.0,4,2865,16.4,1
23.0,4,3035,20.5,1
36.0,4,1980,15.3,2
37.0,4,2025,18.2,3
31.0,4,1970,17.6,3
38.0,4,2125,14.7,1
36.0,4,2125,17.3,1
36.0,4,2160,14.5,3
36.0,4,2205,14.5,3
34.0,4,2245,16.9,3
38.0,4,1965,15.0,3
32.0,4,1965,15.7,3
38.0,4,1995,16.2,3
25.0,6,2945,16.4,1
38.0,6,3015,17.0,1
26.0,4,2585,14.5,1
22.0,6,2835,14.7,1
32.0,4,2665,13.9,3
36.0,4,2370,13.0,1
27.0,4,2950,17.3,1
27.0,4,2790,15.6,1
44.0,4,2130,24.6,2
32.0,4,2295,11.6,1
28.0,4,2625,18.6,1
31.0,4,2720,19.4,1
